field_name,strategy,left,left_delta,top,top_delta,right,right_delta,bottom,bottom_delta,page,regex
name,lines,Item C,-0.001,Item C,-0.001,Item D,-0.001,Item F,-0.001,Page 1,zation\s*(?:Name\s*)?(.+?)\s*Do[il]n[ag]
address,lines,Item C,-0.001,Item C,-0.001,Item D,-0.001,Item F,-0.001,Page 1,address\)(?: Room/s\w+e)?(?:.+umber)?\s*(.+?)\s*(?:City(?: or)? [ft]own|Room/suite)
city,lines,Item C,-0.001,Item C,-0.001,Item D,-0.001,Item F,-0.001,Page 1,"code\s*(.+?),?\s+[A-Z]{2}\b|(\w+),\s*[A-Z]{2}\b"
state,lines,Item C,-0.001,Item C,-0.001,Item D,-0.001,Item F,-0.001,Page 1,([A-Z]{2})[^A-Za-z]*\d{5}
zip,lines,Item C,-0.001,Item C,-0.001,Item D,-0.001,Item F,-0.001,Page 1,[A-Z]{2}[^A-Za-z]*(\d{5})
website,words,Item J,-0.001,Item J,-0.001,Item H,0.001,Item K,-0.001,Page 1,"((?:www[. ] ?|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\. ?[^\s]{2,}|N[/a-zA-Z]+|[wW]+[. ]\w+[. ]\w{3}|\w+[. ](?:com|COM|org|ORG|edu|EDU))"
gross_receipts,words,Item G,0,Item G,-0.001,Bottom Right Corner,0,Item H,-0.001,Page 1,"\$?([-()\d,.OSlI]+)"
year_formation,words,Item L,-0.001,Item L,-0.001,Bottom Right Corner,0,"Part I, Item 1",-0.001,Page 1,(\d{4})
state_of_domicile,words,Item M,-0.001,Item M,-0.001,Bottom Right Corner,0,"Part I, Item 1",-0.001,Page 1,domici[lt]e:?\s*([A-Z]{2})|[A-Z]{2}\s*M\s*(State of legal)?\s*domicile
mission,lines,"Part I, Item 1",-0.001,"Part I, Item 1",-0.001,Bottom Right Corner,0,"Part I, Item 2",-0.001,Page 1,activities:?\s*(.+)
num_voting_members,words,Current Year,-0.001,"Part I, Item 3",-0.001,Bottom Right Corner,0,"Part I, Item 4",-0.001,Page 1,"([\d,OoZSlI]+)"
num_independent_members,words,Current Year,-0.001,"Part I, Item 4",-0.001,Bottom Right Corner,0,"Part I, Item 5",-0.001,Page 1,"([\d,OoZSlI]+)"
num_employees,words,Current Year,-0.001,"Part I, Item 5",0.001,Bottom Right Corner,0,"Part I, Item 6",-0.001,Page 1,"([\d,OoZSlI]+)"
num_volunteers,words,Current Year,-0.001,"Part I, Item 6",-0.001,Bottom Right Corner,0,"Part I, Item 7a",-0.001,Page 1,"([\d,OoZSlI]+)"
total_unrelated_biz_revenue,words,Current Year,-0.001,"Part I, Item 7a",-0.001,Bottom Right Corner,0,"Part I, Item 7b",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
net_unrelated_biz_taxable_revenue,words,Current Year,-0.001,"Part I, Item 7b",-0.001,Bottom Right Corner,0,Current Year,-0.005,Page 1,"\$?([-()\d,.OoZSlI]+)"
contributions_grants_revenue,words,Current Year,-0.001,"Part I, Item 8",-0.001,Bottom Right Corner,0,"Part I, Item 9",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
program_service_revenue,words,Current Year,-0.001,"Part I, Item 9",-0.001,Bottom Right Corner,0,"Part I, Item 10",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
investment_income_revenue,words,Current Year,-0.001,"Part I, Item 10",-0.001,Bottom Right Corner,0,"Part I, Item 11",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
other_revenue,words,Current Year,-0.001,"Part I, Item 11",-0.001,Bottom Right Corner,0,"Part I, Item 12",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
total_revenue,words,Current Year,-0.001,"Part I, Item 12",-0.001,Bottom Right Corner,0,"Part I, Item 13",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
grants_paid_expenses,words,Current Year,-0.001,"Part I, Item 13",-0.001,Bottom Right Corner,0,"Part I, Item 14",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
benefits_paid_members_expenses,words,Current Year,-0.001,"Part I, Item 14",-0.001,Bottom Right Corner,0,"Part I, Item 15",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
salaries_compensation_benefits_expenses,words,Current Year,-0.001,"Part I, Item 15",-0.001,Bottom Right Corner,0,"Part I, Item 16a",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
professional_fundraising_fees_expenses,words,Current Year,-0.001,"Part I, Item 16a",-0.001,Bottom Right Corner,0,"Part I, Item 16b",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
total_fundraising_expenses,words,"Part I, Item 16b",-0.001,"Part I, Item 16b",-0.001,Current Year,0,"Part I, Item 17",-0.001,Page 1,"\$?([-\d,.OoZSlI]+|\([-\d,.OoZSlI]+\))"
other_expenses,words,Current Year,-0.001,"Part I, Item 17",-0.001,Bottom Right Corner,0,"Part I, Item 18",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
total_expenses,words,Current Year,-0.001,"Part I, Item 18",-0.001,Bottom Right Corner,0,"Part I, Item 19",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
revenue_less_expenses,words,Current Year,-0.001,"Part I, Item 19",-0.001,Bottom Right Corner,0,"Part I, Item 20",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
total_assets,words,Current Year,-0.001,"Part I, Item 20",-0.001,Bottom Right Corner,0,"Part I, Item 21",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
total_liabilities,words,Current Year,-0.001,"Part I, Item 21",-0.001,Bottom Right Corner,0,"Part I, Item 22",-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
net_assets,words,Current Year,-0.001,"Part I, Item 22",-0.001,Bottom Right Corner,0,Signature Block,-0.001,Page 1,"\$?([-()\d,.OoZSlI]+)"
