filing_id,ein,pdf_key,job_id,year,name,address,city,state,zip,website,gross_receipts,year_formation,state_of_domicile,mission,num_voting_members,num_independent_members,num_employees,num_volunteers,total_unrelated_biz_revenue,net_unrelated_biz_taxable_revenue,contributions_grants_revenue,program_service_revenue,investment_income_revenue,other_revenue,total_revenue,grants_paid_expenses,benefits_paid_members_expenses,salaries_compensation_benefits_expenses,professional_fundraising_fees_expenses,total_fundraising_expenses,other_expenses,total_expenses,revenue_less_expenses,total_assets,total_liabilities,net_assets,grants_us_govt_orgs_total,grants_us_govt_orgs_prog_service,grants_us_govt_orgs_mgmt_and_general,grants_us_govt_orgs_fundraising,grants_us_individuals_total,grants_us_individuals_prog_service,grants_us_individuals_mgmt_and_general,grants_us_individuals_fundraising,grants_foreign_individuals_govt_orgs_total,grants_foreign_individuals_govt_orgs_prog_service,grants_foreign_individuals_govt_orgs_mgmt_and_general,grants_foreign_individuals_govt_orgs_fundraising,benefits_to_members_total,benefits_to_members_prog_service,benefits_to_members_mgmt_and_general,benefits_to_members_fundraising,compensation_officers_total,compensation_officers_prog_service,compensation_officers_mgmt_and_general,compensation_officers_fundraising,compensation_disq_persons_total,compensation_disq_persons_prog_service,compensation_disq_persons_mgmt_and_general,compensation_disq_persons_fundraising,other_salaries_wages_total,other_salaries_wages_prog_service,other_salaries_wages_mgmt_general,other_salaries_wages_fundraising,pension_plan_acc_contrib_total,pension_plan_acc_contrib_prog_service,pension_plan_acc_contrib_mgmt_general,pension_plan_acc_fundraising,other_employee_benefits_total,other_employee_benefits_prog_service,other_employee_benefits_mgmt_general,other_employee_benefits_fundraising,payroll_taxes_total,payroll_taxes_prog_service,payroll_taxes_mgmt_general,payroll_taxes_fundraising,fees_for_mgmt_services_total,fees_for_mgmt_services_prog_service,fees_for_mgmt_services_mgmt_general,fees_for_mgmt_services_fundraising,fees_for_legal_services_total,fees_for_legal_services_prog_service,fees_for_legal_services_mgmt_general,fees_for_legal_services_fundraising,fees_for_accounting_services_total,fees_for_accounting_services_prog_service,fees_for_accounting_services_mgmt_general,fees_for_accounting_services_fundraising,fees_for_lobbying_services_total,fees_for_lobbying_services_prog_service,fees_for_lobbying_services_mgmt_general,fees_for_lobbying_services_fundraising,fees_for_fundraising_services_total,fees_for_fundraising_services_prog_service,fees_for_fundraising_services_mgmt_general,fees_for_fundraising_services_fundraising,fees_for_investment_mgmt_services_total,fees_for_investment_mgmt_services_prog_service,fees_for_investment_mgmt_services_mgmt_general,fees_for_investment_mgmt_services_fundraising,fees_for_other_services_total,fees_for_other_services_prog_service,fees_for_other_services_mgmt_general,fees_for_other_services_fundraising,advertising_promotion_total,advertising_promotion_prog_service,advertising_promotion_mgmt_general,advertising_promotion_fundraising,office_expenses_total,office_expenses_prog_service,office_expenses_mgmt_general,office_expenses_fundraising,it_expenses_total,it_expenses_prog_service,it_expenses_mgmt_general,it_expenses_fundraising,royalties_total,royalties_prog_service,royalties_mgmt_general,royalties_fundraising,occupancy_total,occupancy_prog_service,occupancy_mgmt_general,occupancy_fundraising,travel_total,travel_prog_service,travel_mgmt_general,travel_fundraising,entertainment_travel_govt_officials_total,entertainment_travel_govt_officials_prog_service,entertainment_travel_govt_officials_mgmt_general,entertainment_travel_govt_officials_fundraising,conferences_conventions_total,conferences_conventions_prog_service,conferences_conventions_mgmt_general,conferences_conventions_fundraising,interest_total,interest_prog_service,interest_mgmt_general,interest_fundraising,payments_affiliates_total,payments_affiliates_prog_service,payments_affiliates_mgmt_general,payments_affiliates_fundraising,depreciation_depletion_amortization_total,depreciation_depletion_amortization_prog_service,depreciation_depletion_amortization_mgmt_general,depreciation_depletion_amortization_fundraising,insurance_total,insurance_prog_service,insurance_mgmt_general,insurance_fundraising,other_expenses_a_label,other_expenses_a_total,other_expenses_a_prog_service,other_expenses_a_mgmt_general,other_expenses_a_fundraising,other_expenses_b_label,other_expenses_b_total,other_expenses_b_prog_service,other_expenses_b_mgmt_general,other_expenses_b_fundraising,other_expenses_c_label,other_expenses_c_total,other_expenses_c_prog_service,other_expenses_c_mgmt_general,other_expenses_c_fundraising,other_expenses_d_label,other_expenses_d_total,other_expenses_d_prog_service,other_expenses_d_mgmt_general,other_expenses_d_fundraising,all_other_expenses_total,all_other_expenses_prog_service,all_other_expenses_mgmt_general,all_other_expenses_fundraising,total_functional_expenses_total,total_functional_expenses_prog_service,total_functional_expenses_mgmt_general,total_functional_expense_fundraising,activities_per_region_totals_number_of_offices,activities_per_region_totals_number_of_employees,activities_per_region_totals_total_expenditure,total_number_recipient_foreign_orgs_listed_as_charities,total_number_other_recipient_foreign_orgs_entities
237275342_2008,237275342,EIN_237275342_YEAR_2008_FORMTYPE_990.pdf,,2008,OPEN DOORS WITH BROTHER ANDREW,2953 SO. PULLMAN ST.,SANTA ANA,CA,92705,WWW.OPENDOORSUSA.ORG,14199660,1973,CA,. TO STRENGTHEN AND EQUIP THE BODY OF CHRIST LIVING UNDER OR FACING RESTRICTION AND PERSECUTION.,8,8,49,46,0,0,13293180,36689,-27893,37699,13339675,6813819,,3137889,453972,2161677,3375113,13780793,-441118,5038129,2365965,2672164,6813819,6813819,,,,,,,,,,,,,,,562829,250327,277984,34518,,,,,1920646,1067163,598112,255371,134746,75242,42633,16871,365342,180284,139174,45884,154326,77495,57008,19823,3429,,3429,,2525,108,2417,,46681,,46681,,480,480,,,453972,,,453972,17428,,17428,,387662,336169,18265,33228,35115,33598,160,1357,568596,337523,157234,73839,156676,80374,50844,25458,542,542,,,69477,34209,26450,8818,504322,390113,36226,77983,,,,,222482,175799,3367,43316,,,,,,,,,227189,104915,96537,25737,29280,15310,10239,3731,"PRINT, POSTAGE, RADIO a",1000247,,,1000247,DONOR APPRECIATION/REP b,71091,27132,6655,37304,"BOOKS, FILMS, RADIO c",26028,21887,,4141,OTHER OPERATING EXPENSE,5863,4118,1666,79,,,,,13780793,10026607,1592509,2161677,,,,,
237275342_2009,237275342,EIN_237275342_YEAR_2009_FORMTYPE_990.pdf,,2009,Open Doors With Brother Andrew Inc,PO Box 27001,Santa Ana,CA,92799,,25137207,1973,CA,To strengthen and equip the Body of Christ living under or facing restriction and persecution,8,8,53,54,0,0,24958202,41169,-3135,33592,25029828,18200352,0,3038957,244466,1710284,3224096,24707871,321957,5041475,1916597,3124878,4722718,4722718,,,6000,6000,,,13471634,13471634,,,,,,,311869,133439,164384,14046,,,,,2001156,1082886,656772,261498,141384,73322,50435,17627,429194,212157,163310,53727,155354,74799,60702,19853,420,,420,,1200,640,334,226,47466,,47466,,1098,1098,,,244466,,,244466,14205,,14205,,436055,397766,15013,23276,428101,381022,9364,37715,450163,216117,161204,72842,132844,67156,45047,20641,158,158,,,67032,32936,25594,8502,401366,309666,25633,66067,,,,,77444,58271,5274,13899,236,47,189,,,,,,224642,105851,91861,26930,34184,17795,12025,4364,Fundraising- other,783843,,,783843,GIK b Overhead,94477,52716,5201,36560,Donor/Volunteer apprec,19562,14364,1981,3217,Radio Announcements,9350,8415,,935,250,200,,50,24707871,21441173,1556414,1710284,,0,13471634,1,
237275342_2010,237275342,EIN_237275342_YEAR_2010_FORMTYPE_990.pdf,,2010,Open Doors With Brother Andrew Inc, ,Santa Ana,CA,92799,,13531568,1973,CA,To strengthen and equip the Body of Christ living under or facing restriction and persecution,7,7,48,97,0,0,13139477,37569,-7261,50436,13220221,6670992,0,3106955,263994,1939484,3102466,13144407,75814,5681615,2556510,3125105,6670992,6670992,,,,,,,,,,,,,,,326798,140459,171554,14785,,,,,1992719,1079438,638270,275011,139405,73592,47296,18517,484741,247658,175067,62016,163292,74617,67751,20924,42025,,42025,,5375,2776,2296,303,55468,,55468,,6988,6988,,,263994,,,263994,,,,,317694,281058,11142,25494,253864,204097,8590,41177,421112,197203,171057,52852,225330,138921,48853,37556,100,100,,,61897,30296,23746,7855,297940,183351,30533,84056,,,,,14495,9314,3124,2057,1216,243,973,,,,,,247086,120688,97650,28748,33315,17408,11650,4257,FR Printing and Postage,957905,,,957905,Radio Announcements,85188,83677,,1511,Premiums,49387,12868,618,35901,Donor/Volunteer Appreci,25967,19658,1753,4556,114,87,18,9,13144407,9595489,1609434,1939484,,,,,
520595110_2009,520595110,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,,2009,JOHNS HOPKINS UNIVERSITY,"1101 EAST 33RD STREET No D200 BALTIMORE, MD 21218",BALTIMORE,MD,21218,www JHU EDU,8380263000,1876,MD,"To educate students, to foster independent & original research, and to share benefits discovered",69,64,37360,0,18595427,-4037407,298746000,3478896432,-30330000,40355568,3787668000,328196000,0,2205955000,0,64340000,1274370000,3809866000,-22198000,6427525000,2948837000,3478688000,199485000,199485000,,,43109000,43109000,,,85602000,85602000,,,,,,,14032000,1075000,12377000,580000,,,,,1669929000,1528343000,,26983000,140627000,121774000,14858000,3995000,319302000,303383000,13909000,2010000,62065000,50030000,9464000,2571000,28389000,21932000,5838000,619000,959000,506000,340000,113000,198000,161000,33000,4000,,,,,1345000,,,1345000,11471000,,11471000,,249532000,205512000,38684000,5336000,5139000,4737000,297000,105000,249875000,205674000,33510000,10691000,16445000,13804000,2575000,66000,11982000,5275000,6620000,87000,86445000,70118000,12324000,4003000,85256000,80440000,3106000,1710000,,,,,10175000,9497000,430000,248000,47560000,37558000,9336000,666000,,,,,172138000,142708000,28767000,663000,61238000,56172000,4658000,408000,Other MISC Expenses,140888000,135633000,3438000,1817000,Research / Lab Expenses,96680000,95149000,1211000,320000,c,,,,,d,,,,,,,,,3809866000,3417677000,327849000,64340000,147,2893,161609982,222,222
520595110_2010,520595110,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,,2010,JOHNS HOPKINS UNIVERSITY,1101 EAST 33RD STREET No C020,BALTIMORE,MD,21218,WWW JHU EDU,6552591000,1876,MD,"To educate students, to foster independent & original research, and to share benefits discovered",64,56,36571,0,20955736,-4932940,1320288000,2805592000,119689000,22228000,4267797000,615592000,0,2340122000,656000,70682000,1286028000,4242398000,25399000,6853422000,3216654000,3636768000,262246000,262246000,,,251127000,251127000,,,102219000,102219000,,,,,,,10613000,1119000,9028000,466000,,,,,1711042000,1561325000,116077000,33640000,157871000,134244000,18921000,4706000,395098000,386724000,4360000,4014000,65498000,51462000,11218000,2818000,30922000,20491000,9662000,769000,2410000,913000,1424000,73000,1068000,375000,693000,,,,,,656000,,,656000,15302000,,15302000,,311125000,257188000,45322000,8615000,5294000,4696000,467000,131000,139370000,119936000,14261000,5173000,18374000,15073000,3167000,134000,12719000,6302000,6239000,178000,101810000,81305000,15772000,4733000,92106000,86821000,3173000,2112000,,,,,10095000,9263000,612000,220000,62361000,49941000,11466000,954000,,,,,176618000,146054000,30088000,476000,63992000,57720000,5800000,472000,Other Misc Expenses,140384000,138439000,1945000,,Research / Lab Expenses,102078000,100304000,1432000,342000,c,,,,,d,,,,,,,,,4242398000,3845287000,326429000,70682000,102,3602,202988738,262,262
542041314_2009,542041314,EIN_542041314_YEAR_2009_FORMTYPE_990.pdf,,2009,BARRY-ROBINSON SCHOOLS OF NORFOLK CO WILLIAM A PRINCE,1000 BOLLING AVENUE,NORFOLK,VA,23508,www STPCS ORG,4747253,2001,VA,See Additional Data Table,5,5,98,300,0,0,2012521,2670893,4660,54225,4742299,227000,0,2875479,0,146806,1811160,4913639,-171340,1649606,503660,1145946,227000,227000,,,,,,,,,,,,,,,167000,16700,133600,16700,,,,,2286098,1165910,,91444,105596,53854,47518,4224,139230,71007,62654,5569,177555,90553,79900,7102,,,,,3214,,3214,,16266,,16266,,,,,,,,,,,,,,,,,,4694,4225,,469,146214,134517,11697,,29765,27384,2381,,,,,,,,,,18974,1897,9108,7969,,,,,40559,24741,15818,,,,,,,,,,327238,301059,26179,,47669,43855,3814,,INDEPENDENT CONTRACTORS,723497,694557,28940,0,UTILITIES,216493,199174,17319,0,AUXILLARY PROGRAMS c,51251,51251,0,0,BAD DEBT EXPENSE,32934,32934,0,0,28831,26525,2306,0,4913639,3228452,1538381,146806,,,,,
542041314_2010,542041314,EIN_542041314_YEAR_2010_FORMTYPE_990.pdf,,2010,BARRY-ROBINSON SCHOOLS OF NORFOLK CO WILLIAM A PRINCE,1000 BOLLING AVENUE,NORFOLK,VA,23508,www STPCS ORG,4974688,2001,VA,"BARRY -ROBINSON SCHOOLS OF NORFOLK IS A ON-STOCK, NONPRO FIT VIRGINIA-BASED CORPORATION CHARTERED IN 2001 THE ORGANIZATIONIS SUPPORTED, SUPERVISED AND CONTROLLED BY JAMES BARRY- ROBINSON HOME FOR BOYS TRUST AND WAS ORGANIZED TO CONSTRUCT AND OPERATE, SAINT PATRICK CATHOLIC SCHOOL, AN INDEPENDENT ROMAN CATHOLIC ELEMENTARY SCHOOL IN ADDITION, THE ORGANIZATION PROVIDES TUITION AND CAPITAL ASSISTANCE TO THREE OTHER CATHOLIC ELEMENTARY SCHOOLS IN NORFOLK, VIRGINIA AND BISHOP SULLIVAN CATHOLIC HIGH SCHOOL WHICH SERVES THE AREA",5,5,80,300,0,0,1918461,2951772,4163,90937,4965333,177000,0,2939169,0,148740,1889636,5005805,-40472,1619948,513846,1106102,177000,177000,,,,,,,,,,,,,,,167000,16700,133600,16700,,,,,2320899,1183658,1044405,92836,101946,51992,45876,4078,167143,85243,75214,6686,182181,92912,81981,7288,,,,,12390,,12390,,14500,,14500,,,,,,,,,,,,,,,,,,8351,7516,,835,159312,146567,12745,,35866,32997,2869,,,,,,,,,,12428,1243,5965,5220,,,,,29284,17863,11421,,,,,,,,,,342472,315074,27398,,49732,45753,3979,,INDEPENDENT CONTRACTORS a,719944,691146,28798,0,UTILITIES,213403,196331,17072,0,AUXILLARY PROGRAMS c,80521,80521,0,0,BAD DEBT EXPENSE,36483,36483,0,0,31256,28756,2500,0,5005805,3273086,1583979,148740,,,,,
943115593_2008,943115593,EIN_943115593_YEAR_2008_FORMTYPE_990.pdf,,2008,VALLEY GENERAL HOSPITAL FOUNDATION,P. O. BOX 1522,MONROE,WA,98272,N/A,174343,1989,WA,RAISING FUNDS FOR HEALTH CARE,,,,,0,0,28821,,435,71716,100972,,,15049,,,132395,147444,,162136,,162136,,,,,,,,,,,,,,,,,,,,,,,,,12572,,12572,,,,,,,,,,2477,,2477,,,,,,,,,,,,,,15000,15000,,,,,,,,,,,,,,,2248,,2248,,2295,,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOSPITAL a SUPPORT PROGRA,103331,103331,,,OTHER SUPPORT,2951,,2951,,BOARD AND STAFF c DEVELOP,2749,,2749,,CAMPAIGN EXPENSES,2146,,2146,,872,,872,,147444,118331,29113,0,,,,,
770357297_2008,770357297,EIN_770357297_YEAR_2008_FORMTYPE_990.pdf,,2008,FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES C/O SHARON STANLEY,1940 N. FRESNO STREET,FRESNO,CA,93703,wWW.FIRMINC.ORG/INDEX.CFM,1079759,1994,CA,"TO LAY A FOUNDATION FOR REFUGEES; TO SUPPORT REFUGEES WITH JOBS, LIVING SKILLS, AND CHILD",8,8,41,15,0,0,1030397,35338,24,1526,1067285,,,845111,,8228,355113,1200224,,679615,315196,364419,,,,,,,,,,,,,,,,,34741,30542,3989,210,,,,,647705,624729,21827,1149,8434,2590,5552,292,82293,49037,31593,1663,71938,69419,2393,126,,,,,,,,,22881,14592,7875,414,,,,,,,,,,,,,61131,59373,1670,88,2759,2759,,,104883,68774,34255,1854,,,,,,,,,,,,,32611,30663,1851,97,,,,,,,,,7491,7469,22,,,,,,22964,,21816,1148,8979,6183,2656,140,REPAIRS AND MAINTENANCE,57432,45806,11045,581,UTILITIES,20783,12914,7476,393,MISCELLANEOUS c,4336,2893,1414,29,RENTAL EXPENSES d,3542,3542,,,2357,2357,1447,44,1200224,1035115,156881,8228,,,,,
770357297_2009,770357297,EIN_770357297_YEAR_2009_FORMTYPE_990.pdf,,2009,FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES C/O SHARON STANLEY,1940 N. FRESNO STREET,FRESNO,CA,93703,WWW.FIRMINC.ORG/INDEX.CFM,913455,1994,CA,TO WITNESS THE LOVE OF CHRIST BY INITIATING AND ENCOURAGING MINISTRIES WHICH RAISE AWARENESS AND,8,8,31,15,0,0,879622,31682,,2151,913455,,713261,,,957,211198,924459,,634330,280915,353415,,,,,,,,,,,,,,,,,66346,56394,9620,332,,,,,607516,514127,88554,4835,,,,,39399,34701,4463,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90366,61922,27022,1422,,,,,,,,,53354,39800,12876,678,17779,16591,1129,59,,,,,,,,,,,,,,,,,24411,8601,14589,1221,,,,,RENTAL EXPENSES a,17173,17173,0,0,MISCELLANEOUS b,7309,4604,2570,135,BUSINESS EXPENSES c,806,6,760,40,d,,,,,,,,,924459,753919,161583,8957,,,,,
