filing_id,compensation_officers_prog_service,compensation_disq_persons_fundraising,fees_for_other_services_mgmt_general,occupancy_prog_service,year,other_salaries_wages_fundraising,fees_for_mgmt_services_mgmt_general,entertainment_travel_govt_officials_prog_service,benefits_to_members_mgmt_and_general,contributions_grants_revenue,fees_for_mgmt_services_fundraising,other_expenses_a_fundraising,other_expenses_d_mgmt_general,fees_for_lobbying_services_fundraising,compensation_officers_fundraising,other_expenses_b_label,state,grants_us_individuals_fundraising,entertainment_travel_govt_officials_total,zip,fees_for_investment_mgmt_services_prog_service,other_expenses_a_prog_service,other_revenue,other_expenses_b_prog_service,fees_for_fundraising_services_fundraising,num_independent_members,payments_affiliates_mgmt_general,advertising_promotion_total,depreciation_depletion_amortization_prog_service,fees_for_other_services_fundraising,interest_total,other_expenses_c_fundraising,activities_per_region_totals_number_of_offices,mission,grants_foreign_individuals_govt_orgs_total,other_expenses_b_fundraising,other_expenses_d_fundraising,compensation_disq_persons_mgmt_and_general,payroll_taxes_mgmt_general,fees_for_accounting_services_fundraising,compensation_disq_persons_prog_service,num_volunteers,investment_income_revenue,conferences_conventions_prog_service,fees_for_accounting_services_mgmt_general,state_of_domicile,conferences_conventions_mgmt_general,payments_affiliates_fundraising,fees_for_legal_services_mgmt_general,program_service_revenue,payments_affiliates_total,fees_for_legal_services_total,office_expenses_fundraising,other_expenses_c_label,city,it_expenses_prog_service,grants_us_individuals_total,total_number_other_recipient_foreign_orgs_entities,ein,pension_plan_acc_fundraising,conferences_conventions_fundraising,gross_receipts,conferences_conventions_total,fees_for_accounting_services_prog_service,office_expenses_total,travel_mgmt_general,num_employees,it_expenses_fundraising,total_number_recipient_foreign_orgs_listed_as_charities,fees_for_investment_mgmt_services_mgmt_general,grants_us_individuals_prog_service,fees_for_investment_mgmt_services_total,occupancy_fundraising,royalties_prog_service,depreciation_depletion_amortization_total,website,compensation_disq_persons_total,other_expenses_d_label,address,entertainment_travel_govt_officials_mgmt_general,total_functional_expense_fundraising,occupancy_mgmt_general,compensation_officers_total,fees_for_fundraising_services_mgmt_general,interest_prog_service,travel_fundraising,grants_foreign_individuals_govt_orgs_mgmt_and_general,benefits_to_members_total,total_functional_expenses_prog_service,net_assets,payroll_taxes_total,grants_us_govt_orgs_mgmt_and_general,other_salaries_wages_mgmt_general,other_employee_benefits_mgmt_general,occupancy_total,compensation_officers_mgmt_and_general,insurance_fundraising,insurance_mgmt_general,depreciation_depletion_amortization_fundraising,all_other_expenses_fundraising,total_assets,other_expenses_b_mgmt_general,other_expenses_d_total,fees_for_other_services_total,pension_plan_acc_contrib_mgmt_general,fees_for_legal_services_fundraising,interest_fundraising,activities_per_region_totals_number_of_employees,insurance_total,benefits_paid_members_expenses,travel_prog_service,entertainment_travel_govt_officials_fundraising,other_expenses_d_prog_service,fees_for_fundraising_services_total,advertising_promotion_prog_service,other_expenses_c_prog_service,total_liabilities,fees_for_mgmt_services_prog_service,fees_for_lobbying_services_prog_service,pension_plan_acc_contrib_total,fees_for_other_services_prog_service,grants_paid_expenses,all_other_expenses_prog_service,revenue_less_expenses,fees_for_legal_services_prog_service,fees_for_investment_mgmt_services_fundraising,payments_affiliates_prog_service,net_unrelated_biz_taxable_revenue,fees_for_lobbying_services_mgmt_general,payroll_taxes_prog_service,office_expenses_mgmt_general,grants_us_individuals_mgmt_and_general,name,advertising_promotion_mgmt_general,office_expenses_prog_service,other_expenses_a_total,pdf_key,num_voting_members,fees_for_accounting_services_total,advertising_promotion_fundraising,travel_total,all_other_expenses_mgmt_general,grants_us_govt_orgs_prog_service,grants_foreign_individuals_govt_orgs_prog_service,fees_for_fundraising_services_prog_service,other_expenses_b_total,other_expenses,year_formation,royalties_total,other_expenses_a_mgmt_general,other_employee_benefits_total,professional_fundraising_fees_expenses,grants_foreign_individuals_govt_orgs_fundraising,total_expenses,other_expenses_c_mgmt_general,total_fundraising_expenses,payroll_taxes_fundraising,all_other_expenses_total,royalties_mgmt_general,total_unrelated_biz_revenue,pension_plan_acc_contrib_prog_service,activities_per_region_totals_total_expenditure,other_employee_benefits_fundraising,salaries_compensation_benefits_expenses,benefits_to_members_fundraising,royalties_fundraising,depreciation_depletion_amortization_mgmt_general,other_salaries_wages_total,fees_for_lobbying_services_total,it_expenses_mgmt_general,benefits_to_members_prog_service,other_expenses_c_total,it_expenses_total,total_functional_expenses_total,grants_us_govt_orgs_fundraising,grants_us_govt_orgs_total,other_salaries_wages_prog_service,insurance_prog_service,other_expenses_a_label,total_revenue,fees_for_mgmt_services_total,job_id,total_functional_expenses_mgmt_general,other_employee_benefits_prog_service,interest_mgmt_general,source_url,index,activities_per_region_subtotal_total_expenditure,split_file,interest_general,file,activities_per_region_subtotal_number_of_offices,activities_per_region_continuation_total_number_of_employees,activities_per_region_subtotal_number_of_employees,activities_per_region_continuation_total_number_of_offices,activities_per_region_continuation_total_total_expenditure
237275342_2008,250327,,18265,34209,2008,255371,3429,,,13293180,,1000247,1666,,34518,DONOR APPRECIATION/REP b,CA,,,92705,,,37699,27132,453972,8,,35115,104915,33228,,4141,,. TO STRENGTHEN AND EQUIP THE BODY OF CHRIST LIVING UNDER OR FACING RESTRICTION AND PERSECUTION.,,37304,79,,57008,,,46,-27893,175799,46681,CA,3367,,2417,36689,,2525,73839,"BOOKS, FILMS, RADIO c",SANTA ANA,80374,,,237275342,16871,43316,14199660,222482,,568596,36226,49,25458,,17428,,17428,8818,542,227189,WWW.OPENDOORSUSA.ORG,,OTHER OPERATING EXPENSE,2953 SO. PULLMAN ST.,,2161677,26450,562829,,,77983,,,10026607,2672164,154326,,598112,139174,69477,277984,3731,10239,25737,,5038129,6655,5863,387662,42633,,,,29280,,390113,,4118,453972,33598,21887,2365965,,480,134746,336169,6813819,,-441118,108,,,0,,77495,157234,,OPEN DOORS WITH BROTHER ANDREW,160,337523,1000247,EIN_237275342_YEAR_2008_FORMTYPE_990.pdf,8,46681,1357,504322,,6813819,,,71091,3375113,1973,542,,365342,453972,,13780793,,2161677,19823,,,0,75242,,45884,3137889,,,96537,1920646,480,50844,,26028,156676,13780793,,6813819,1067163,15310,"PRINT, POSTAGE, RADIO a",13339675,3429,4136d7b43dde3f66c7d43378c8429cdb6a3fde39f3faa04bca569a248328d540,1592509,180284,,https://projects.propublica.org/nonprofits/download-filing?path=2009_10_EO%2F23-7275342_990_200812.pdf,,,,,,,,,,
237275342_2009,133439,,15013,32936,2009,261498,420,,,24958202,,783843,,,14046,GIK b Overhead,CA,,,92799,,,33592,52716,244466,8,,428101,105851,23276,236,3217,,To strengthen and equip the Body of Christ living under or facing restriction and persecution,13471634,36560,935,,60702,,,54,-3135,58271,47466,CA,5274,,334,41169,,1200,72842,Donor/Volunteer apprec,Santa Ana,67156,6000,,237275342,17627,13899,25137207,77444,,450163,25633,53,20641,1,14205,6000,14205,8502,158,224642,wwwopendoorusaorg,,Radio Announcements,PO Box 27001,,1710284,25594,311869,,47,66067,,,21441173,3124878,155354,,656772,163310,67032,164384,4364,12025,26930,50,5041475,5201,9350,436055,50435,226,,0,34184,0,309666,,8415,244466,381022,14364,1916597,,1098,141384,397766,18200352,200,321957,640,,,0,,74799,161204,,Open Doors With Brother Andrew Inc,9364,216117,783843,EIN_237275342_YEAR_2009_FORMTYPE_990.pdf,8,47466,37715,401366,,4722718,13471634,,94477,3224096,1973,158,,429194,244466,,24707871,1981,1710284,19853,250,,0,73322,13471634,53727,3038957,,,91861,2001156,1098,45047,,19562,132844,24707871,,4722718,1082886,17795,Fundraising- other,25029828,420,008fb4f85d0119fb2d10346f485b3563959d96dc25239fe1ab0a2b1096a4a89c,1556414,212157,189,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F23-7275342_990_200912.pdf,,,,,,,,,,
237275342_2010,140459,,11142,30296,2010,275011,42025,,,13139477,,957905,1753,,14785,Radio Announcements,CA,,,92799,,,50436,83677,263994,7,,253864,120688,25494,1216,35901,,To strengthen and equip the Body of Christ living under or facing restriction and persecution,,1511,4556,,67751,,,97,-7261,9314,55468,CA,3124,,2296,37569,,5375,52852,Premiums,Santa Ana,138921,,,237275342,18517,2057,13531568,14495,,421112,30533,48,37556,,,,,7855,100,247086,wwwopendoorusaorg,,Donor/Volunteer Appreci, ,,1939484,23746,326798,,243,84056,,,9595489,3125105,163292,,638270,175067,61897,171554,4257,11650,28748,9,5681615,,25967,317694,47296,303,,,33315,0,183351,,19658,263994,204097,12868,2556510,,6988,139405,281058,6670992,87,75814,2776,,,0,,74617,171057,,Open Doors With Brother Andrew Inc,8590,197203,957905,EIN_237275342_YEAR_2010_FORMTYPE_990.pdf,7,55468,41177,297940,18,6670992,,,85188,3102466,1973,100,,484741,263994,,13144407,618,1939484,20924,114,,0,73592,,62016,3106955,,,97650,1992719,6988,48853,,49387,225330,13144407,,6670992,1079438,17408,FR Printing and Postage,13220221,42025,b6165d18d64b601aebcc22e3904e5053a51d4e1e0ac8d94524883ffbc29aa1d8,1609434,247658,973,https://projects.propublica.org/nonprofits/download-filing?path=2011_09_EO%2F23-7275342_990_201012.pdf,,,,,,,,,,
520595110_2009,1075000,,38684000,70118000,2009,26983000,5838000,,,298746000,619000,1817000,,,580000,Research / Lab Expenses,MD,,,21218,,135633000,40355568,95149000,1345000,64,,5139000,142708000,5336000,47560000,,147,"To educate students, to foster independent & original research, and to share benefits discovered",85602000,320000,,,9464000,4000,,0,-30330000,9497000,33000,MD,430000,,340000,3478896432,,959000,10691000,c,BALTIMORE,13804000,43109000,222,520595110,3995000,248000,8380263000,10175000,161000,249875000,3106000,37360,66000,222,11471000,43109000,11471000,4003000,5275000,172138000,www JHU EDU,,d,"1101 EAST 33RD STREET No D200 BALTIMORE, MD 21218",,64340000,12324000,14032000,,37558000,1710000,,,3417677000,3478688000,62065000,,,13909000,86445000,12377000,408000,4658000,663000,,6427525000,1211000,,249532000,14858000,113000,666000,2893,61238000,0,80440000,,,1345000,4737000,,2948837000,21932000,,140627000,205512000,328196000,,-22198000,506000,,,-4037407,,50030000,33510000,,JOHNS HOPKINS UNIVERSITY,297000,205674000,140888000,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,69,198000,105000,85256000,,199485000,85602000,,96680000,1274370000,1876,11982000,3438000,319302000,0,,3809866000,,64340000,2571000,,6620000,18595427,121774000,161609982,2010000,2205955000,,87000,28767000,1669929000,,2575000,,,16445000,3809866000,,199485000,1528343000,56172000,Other MISC Expenses,3787668000,28389000,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,327849000,303383000,9336000,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,,,,,,,,,,
520595110_2010,1119000,,45322000,81305000,2010,33640000,9662000,,,1320288000,769000,,,,466000,Research / Lab Expenses,MD,,,21218,,138439000,22228000,100304000,656000,56,,5294000,146054000,8615000,62361000,,102,"To educate students, to foster independent & original research, and to share benefits discovered",102219000,342000,,,11218000,,,0,119689000,9263000,693000,MD,612000,,1424000,2805592000,,2410000,5173000,c,BALTIMORE,15073000,251127000,262,520595110,4706000,220000,6552591000,10095000,375000,139370000,3173000,36571,134000,262,15302000,251127000,15302000,4733000,6302000,176618000,WWW JHU EDU,,d,1101 EAST 33RD STREET No C020,,70682000,15772000,10613000,,49941000,2112000,,,3845287000,3636768000,65498000,,116077000,4360000,101810000,9028000,472000,5800000,476000,,6853422000,1432000,,311125000,18921000,73000,954000,3602,63992000,0,86821000,,,656000,4696000,,3216654000,20491000,,157871000,257188000,615592000,,25399000,913000,,,-4932940,,51462000,14261000,,JOHNS HOPKINS UNIVERSITY,467000,119936000,140384000,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,64,1068000,131000,92106000,,262246000,102219000,,102078000,1286028000,1876,12719000,1945000,395098000,656000,,4242398000,,70682000,2818000,,6239000,20955736,134244000,202988738,4014000,2340122000,,178000,30088000,1711042000,,3167000,,,18374000,4242398000,,262246000,1561325000,57720000,Other Misc Expenses,4267797000,30922000,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,326429000,386724000,11466000,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,,,,,,,,,,
542041314_2009,16700,,,,2009,91444,,,,2012521,,0,0,,16700,UTILITIES,VA,,,23508,,694557,54225,199174,,5,,4694,301059,,,0,,See Additional Data Table,,0,0,,79900,,,300,4660,24741,16266,VA,15818,,3214,2670893,,3214,,AUXILLARY PROGRAMS c,NORFOLK,27384,,,542041314,4224,,4747253,40559,,146214,9108,98,,,,,,,,327238,www STPCS ORG,,BAD DEBT EXPENSE,1000 BOLLING AVENUE,,146806,,167000,,,7969,,,3228452,1145946,177555,,,62654,,133600,,3814,,0,1649606,17319,32934,,47518,,,,47669,0,1897,,32934,,4225,51251,503660,,,105596,,227000,26525,-171340,,,,0,,90553,11697,,BARRY-ROBINSON SCHOOLS OF NORFOLK CO WILLIAM A PRINCE,,134517,723497,EIN_542041314_YEAR_2009_FORMTYPE_990.pdf,5,16266,469,18974,2306,227000,,,216493,1811160,2001,,28940,139230,0,,4913639,0,146806,7102,28831,,0,53854,,5569,2875479,,,26179,2286098,,2381,,51251,29765,4913639,,227000,1165910,43855,INDEPENDENT CONTRACTORS,4742299,,b0b1f62c5a22d9d1b7b0166325228330d9581561660589b9d7c7bca5c6355537,1538381,71007,,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F54-2041314_990_200906.pdf,,,,,,,,,,
542041314_2010,16700,,,,2010,92836,,,,1918461,,0,0,,16700,UTILITIES,VA,,,23508,,691146,90937,196331,,5,,8351,315074,,,0,,"BARRY -ROBINSON SCHOOLS OF NORFOLK IS A ON-STOCK, NONPRO FIT VIRGINIA-BASED CORPORATION CHARTERED IN 2001 THE ORGANIZATIONIS SUPPORTED, SUPERVISED AND CONTROLLED BY JAMES BARRY- ROBINSON HOME FOR BOYS TRUST AND WAS ORGANIZED TO CONSTRUCT AND OPERATE, SAINT PATRICK CATHOLIC SCHOOL, AN INDEPENDENT ROMAN CATHOLIC ELEMENTARY SCHOOL IN ADDITION, THE ORGANIZATION PROVIDES TUITION AND CAPITAL ASSISTANCE TO THREE OTHER CATHOLIC ELEMENTARY SCHOOLS IN NORFOLK, VIRGINIA AND BISHOP SULLIVAN CATHOLIC HIGH SCHOOL WHICH SERVES THE AREA",,0,0,,81981,,,300,4163,17863,14500,VA,11421,,12390,2951772,,12390,,AUXILLARY PROGRAMS c,NORFOLK,32997,,,542041314,4078,,4974688,29284,,159312,5965,80,,,,,,,,342472,www STPCS ORG,,BAD DEBT EXPENSE,1000 BOLLING AVENUE,,148740,,167000,,,5220,,,3273086,1106102,182181,,1044405,75214,,133600,,3979,,0,1619948,17072,36483,,45876,,,,49732,0,1243,,36483,,7516,80521,513846,,,101946,,177000,28756,-40472,,,,0,,92912,12745,,BARRY-ROBINSON SCHOOLS OF NORFOLK CO WILLIAM A PRINCE,,146567,719944,EIN_542041314_YEAR_2010_FORMTYPE_990.pdf,5,14500,835,12428,2500,177000,,,213403,1889636,2001,,28798,167143,0,,5005805,0,148740,7288,31256,,0,51992,,6686,2939169,,,27398,2320899,,2869,,80521,35866,5005805,,177000,1183658,45753,INDEPENDENT CONTRACTORS a,4965333,,e9090a87a37f4c4690126c78ede99cc8d4988f350e8705c97e70432f51050bea,1583979,85243,,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F54-2041314_990_201006.pdf,,,,,,,,,,
943115593_2008,,,,,2008,,,,,28821,,,2146,,,OTHER SUPPORT,WA,,,98272,,103331,71716,,,,,2248,,,,,,RAISING FUNDS FOR HEALTH CARE,,,,,2477,,,,435,,,WA,,,,,,,,BOARD AND STAFF c DEVELOP,MONROE,,,,943115593,,,174343,,,2295,,,,,,,,,,,N/A,,CAMPAIGN EXPENSES,P. O. BOX 1522,,0,,,,,,,,118331,162136,2477,,12572,,,,,,,,162136,2951,2146,,,,,,,,,,,,,,,,15000,,,,,,,,,0,,,2295,,VALLEY GENERAL HOSPITAL FOUNDATION,2248,,103331,EIN_943115593_YEAR_2008_FORMTYPE_990.pdf,,,,,872,,,,2951,132395,1989,,,,,,147444,2749,,,872,,0,,,,15049,,,,12572,15000,,,2749,,147444,,,,,HOSPITAL a SUPPORT PROGRA,100972,,f3af6543bf5658aec28ef2970542cef5534b8c727e9a64bb4951f56e703346dd,29113,,,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F94-3115593_990_200812.pdf,,,,,,,,,,
770357297_2008,30542,,1670,,2008,1149,,,,1030397,,581,,,210,UTILITIES,CA,,,93703,,45806,1526,12914,,8,,2759,,88,7491,29,,"TO LAY A FOUNDATION FOR REFUGEES; TO SUPPORT REFUGEES WITH JOBS, LIVING SKILLS, AND CHILD",,393,,,2393,414,,15,24,,7875,CA,,,,35338,,,1854,MISCELLANEOUS c,FRESNO,,,,770357297,292,,1079759,,14592,104883,1851,41,,,,,,,,22964,wWW.FIRMINC.ORG/INDEX.CFM,,RENTAL EXPENSES d,1940 N. FRESNO STREET,,8228,,34741,,7469,97,,,1035115,364419,71938,,21827,31593,,3989,140,2656,1148,44,679615,7476,3542,61131,5552,,,,8979,,30663,,3542,,2759,2893,315196,,,8434,59373,,2357,,,,,0,,69419,34255,,FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES C/O SHARON STANLEY,,68774,57432,EIN_770357297_YEAR_2008_FORMTYPE_990.pdf,8,22881,,32611,1447,,,,20783,355113,1994,,11045,82293,,,1200224,1414,8228,126,2357,,0,2590,,1663,845111,,,21816,647705,,,,4336,,1200224,,,624729,6183,REPAIRS AND MAINTENANCE,1067285,,1612ed2356c586bb1f488a1b72aca54ca889658a224dca6b72a74fdae47dff94,156881,49037,22,https://projects.propublica.org/nonprofits/download-filing?path=2009_12_EO%2F77-0357297_990_200812.pdf,,,,,,,,,,
770357297_2009,56394,,,39800,2009,4835,,,,879622,,0,,,332,MISCELLANEOUS b,CA,,,93703,,17173,2151,4604,,8,,,8601,,,40,,TO WITNESS THE LOVE OF CHRIST BY INITIATING AND ENCOURAGING MINISTRIES WHICH RAISE AWARENESS AND,,135,,,,,,15,,,,CA,,,,31682,,,1422,BUSINESS EXPENSES c,FRESNO,,,,770357297,,,913455,,,90366,1129,31,,,,,,678,,24411,WWW.FIRMINC.ORG/INDEX.CFM,,d,1940 N. FRESNO STREET,,8957,12876,66346,,,59,,,753919,353415,,,88554,4463,53354,9620,,,1221,,634330,2570,,,,,,,,713261,16591,,,,,6,280915,,,,,,,,,,,0,,,27022,,FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES C/O SHARON STANLEY,,61922,17173,EIN_770357297_YEAR_2009_FORMTYPE_990.pdf,8,,,17779,,,,,7309,211198,1994,,0,39399,,,924459,760,957,,,,0,,,235,,,,14589,607516,,,,806,,924459,,,514127,,RENTAL EXPENSES a,913455,,02ff5f5a56e649dc8758e72bdc4f616be0a5268a7f4a6899e55c7242131ea60a,161583,34701,,https://projects.propublica.org/nonprofits/download-filing?path=2010_11_EO%2F77-0357297_990_200912.pdf,,,,,,,,,,
