number_offices,activities_conducted,year,job_id,pdf_key,filing_id,number_employees,ein,region,specific_type_activity,total_expenditures,source_url
0,Grants to receipients,2009,008fb4f85d0119fb2d10346f485b3563959d96dc25239fe1ab0a2b1096a4a89c,EIN_237275342_YEAR_2009_FORMTYPE_990.pdf,237275342_2009,0,237275342,South Asia,Medical relief aid to displaced persons,13471634,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F23-7275342_990_200912.pdf
0,,2009,008fb4f85d0119fb2d10346f485b3563959d96dc25239fe1ab0a2b1096a4a89c,EIN_237275342_YEAR_2009_FORMTYPE_990.pdf,237275342_2009,0,237275342,Totals,,13471634,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F23-7275342_990_200912.pdf
0,Investments,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,Europe (including Iceland & Greenland),N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
4,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,48,520595110,Middle East & North Africa,"Instruction, Research & Clinical Practice",1678667,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
9,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,37,520595110,North America (excluding the US),"Instruction, Research & Clinical Practice",4658197,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,North America (excluding the U S ),Student Services,216983,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,North America (excluding the US),Libraries,13414,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
3,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,6,520595110,Russia & Independent States,"Instruction, Research & Clinical Practice",1821253,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
7,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,14,520595110,South America,"Instruction, Research & Clinical Practice",1405979,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
24,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,1085,520595110,South Asia,"Instruction, Research & Clinical Practice",11560804,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
59,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,1451,520595110,Sub-Saharan Africa,"Instruction, Research & Clinical Practice",94894728,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
,,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,,520595110,See Add'IData,,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
147,,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,2893,520595110,Totals,,161609982,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
2,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,8,520595110,Central US & the Carribean,"INSTRUCTION, RESEARCH & CLINICAL PRACTICE",700080,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Investments,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,Central US & the Carribean,N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
