number_recipients,year,filing_id,ein,desc_noncash_assistance,amount_cash_grant,method_valuation,job_id,type_of_grant_assistance,pdf_key,region,manner_cash_disbursement,amount_noncash_assistance,source_url,index
,2009,237275342_2009,237275342,Schedule F,,,008fb4f85d0119fb2d10346f485b3563959d96dc25239fe1ab0a2b1096a4a89c,,EIN_237275342_YEAR_2009_FORMTYPE_990.pdf,,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F23-7275342_990_200912.pdf,
1,2009,520595110_2009,520595110,N/A,800,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,North America (excluding the US),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
3,2009,520595110_2009,520595110,N/A,3700,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,South America,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2009,520595110_2009,520595110,N/A,2500,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,South America,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
5,2009,520595110_2009,520595110,N/A,6300,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,South Asia,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2009,520595110_2009,520595110,N/A,2500,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,South Asia,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
3,2009,520595110_2009,520595110,N/A,5700,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Sub-Saharan Africa,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2009,520595110_2009,520595110,N/A,7600,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Central America & the Caribbean,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
9,2009,520595110_2009,520595110,N/A,8500,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,East Asia & the Pacific,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
14,2009,520595110_2009,520595110,N/A,5290,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,East Asia & the Pacific,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
1,2009,520595110_2009,520595110,N/A,20005,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,SUB-AWARD,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Europe (including Iceland & Greenland),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
71,2009,520595110_2009,520595110,N/A,110397,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Europe (including Iceland & Greenland),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
3,2009,520595110_2009,520595110,N/A,9496,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,FELLOWSHIPS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Europe (including Iceland & Greenland),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
12,2009,520595110_2009,520595110,N/A,9530,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Europe (including Iceland & Greenland),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
6,2009,520595110_2009,520595110,N/A,10860,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Middle East & North Africa,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2009,520595110_2009,520595110,N/A,3000,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,ACADEMIC A WARDS,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,Middle East & North Africa,CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
1,2009,520595110_2009,520595110,N/A,44700,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,SUB-AWARD,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,North America (excluding the US),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
26,2009,520595110_2009,520595110,N/A,17050,,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,HONORARIUM,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,North America (excluding the US),CHECK DISBURSEMENT,,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf,
2,2010,520595110_2010,520595110,N/A,2750,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Academic Awards,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,South Asia,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
8,2010,520595110_2010,520595110,N/A,11000,,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,Honoraria,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,South Asia,Check Disbursement,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf,
